id_min|id_max|masters
257008|357714|1672408
10079|357714|1672408
50123|357714|1672408
251333|357714|1672408
152684|255556|1672408
255556|259079|1672408
255556|257008|1672408
10079|255556|1672408
50123|255556|1672408
251333|255556|1672408
152684|259079|1672408
152684|257008|1672408
10079|152684|1672408
50123|152684|1672408
152684|251333|1672408
257008|259079|1672408
10079|259079|1672408
50123|259079|1672408
251333|259079|1672408
10079|257008|1672408
50123|257008|1672408
251333|257008|1672408
10079|50123|1672408
10079|251333|1672408
50123|251333|1672408
252607|257423|461044
257423|274979|461044
257423|261286|461044
253066|257423|461044
252607|274979|461044
252607|261286|461044
252607|253066|461044
261286|274979|461044
253066|274979|461044
253066|261286|461044
261287|427125|538759
261287|339536|538759
268270|636503|631400
341576|636503|631400
251778|636503|631400
267186|636503|631400
268270|341576|631400
251778|268270|631400
267186|268270|631400
75617|346676|802463
75617|1449547|802463
75617|320760|802463
75617|3525848|802463
75617|552743|802463
75617|259078|802463
75617|320757|802463
75617|1463632|802463
75617|3373834|802463
75617|253066|802463
75617|437476|802463
75617|1463631|802463
75617|913030|802463
346676|1449547|802463
320760|346676|802463
346676|3525848|802463
346676|552743|802463
259078|346676|802463
320757|346676|802463
346676|1463632|802463
346676|3373834|802463
253066|346676|802463
346676|437476|802463
346676|1463631|802463
346676|913030|802463
320760|1449547|802463
1449547|3525848|802463
552743|1449547|802463
259078|1449547|802463
320757|1449547|802463
1449547|1463632|802463
1449547|3373834|802463
253066|1449547|802463
437476|1449547|802463
1449547|1463631|802463
913030|1449547|802463
320760|3525848|802463
320760|552743|802463
259078|320760|802463
320757|320760|802463
320760|1463632|802463
320760|3373834|802463
253066|320760|802463
320760|437476|802463
320760|1463631|802463
320760|913030|802463
552743|3525848|802463
259078|3525848|802463
320757|3525848|802463
1463632|3525848|802463
3373834|3525848|802463
253066|3525848|802463
437476|3525848|802463
1463631|3525848|802463
913030|3525848|802463
259078|552743|802463
320757|552743|802463
552743|1463632|802463
552743|3373834|802463
253066|552743|802463
437476|552743|802463
552743|1463631|802463
552743|913030|802463
259078|320757|802463
259078|1463632|802463
259078|3373834|802463
253066|259078|802463
259078|437476|802463
259078|1463631|802463
259078|913030|802463
320757|1463632|802463
320757|3373834|802463
